stat_id,source_id,category,subcategory,metric_name,value,value_min,value_max,unit,geography,sector,bank_name,fiscal_year,operational_domain,sample_size,verbatim_note,figure_ref
1,1,rbi,payments,Digital share of non-cash retail payments,99.8,,,percent,India,Banking,,FY2023-24,payments,,RBI Annual Report 2023-24 Table IX,Figure 1
2,1,rbi,payments,Payment system volume growth YoY,44.0,,,percent,India,Banking,,FY2023-24,payments,,RBI Annual Report 2023-24,Figure 1
3,1,rbi,dpi,RBI Digital Payments Index (September 2022),377.5,,,index,India,Banking,,FY2022-23,payments,,RBI DPI semi-annual,Figure 6
4,1,rbi,dpi,RBI Digital Payments Index (September 2023),418.8,,,index,India,Banking,,FY2023-24,payments,,RBI DPI semi-annual; +10.9% YoY,Figure 6
5,1,rbi,payments,Retail payment volume growth YoY,44.1,,,percent,India,Banking,,FY2023-24,payments,,RBI Annual Report 2023-24,
6,2,adoption,genai,FinServ firms implemented or plan GenAI pilot within 12 months,78.0,,,percent,India,FinServ,,2024,general,FS sector survey,EY AIdea of India 2024,Figure 1
7,2,benefit,genai,FinServ firms citing customer experience impact from GenAI,84.0,,,percent,India,FinServ,,2024,customer_service,FS sector survey,EY AIdea of India 2024,Figure 2
8,2,benefit,genai,FinServ firms citing cost reduction from GenAI,78.0,,,percent,India,FinServ,,2024,cost,FS sector survey,EY AIdea of India 2024,Figure 2
9,2,benefit,genai,FinServ firms citing innovation impact from GenAI,61.0,,,percent,India,FinServ,,2024,innovation,FS sector survey,EY AIdea of India 2024,Figure 2
10,3,benefit,productivity,Productivity gain in Indian banking operations by 2030 (upper bound),46.0,,,percent,India,Banking,,2030,operations,,EY projection,Figure 2
11,3,benefit,productivity,Productivity gain in Indian financial services by 2030,,34.0,38.0,percent,India,FinServ,,2030,operations,,EY projection range,Figure 2
12,12,adoption,demand,Customers expecting AI-powered financial guidance,59.0,,,percent,India,Banking,,2024,customer_service,n=2030,EY consumer survey,Figure 3
13,12,adoption,demand,Customers wanting unified banking services,89.0,,,percent,India,Banking,,2024,customer_service,n=2030,EY consumer survey,Figure 3
14,4,technology,rpa,Organizations already implementing RPA,74.0,,,percent,Global,Cross-industry,,2022,automation,n=479,Deloitte 2022 survey,Figure 1
15,4,technology,ocr,Organizations already implementing OCR,50.0,,,percent,Global,Cross-industry,,2022,automation,n=479,Deloitte 2022 survey,Figure 4
16,4,technology,ai_planned,Organizations planning AI implementation in next 3 years,46.0,,,percent,Global,Cross-industry,,2022,automation,n=479,Deloitte 2022 survey,Figure 4
17,4,technology,process_mining,Organizations planning process mining in next 3 years,43.0,,,percent,Global,Cross-industry,,2022,automation,n=479,Deloitte 2022 survey,Figure 4
18,5,investment,genai,Bank executives considering GenAI investment,62.0,,,percent,US,Banking,,2024,investment,~150 executives,Deloitte 2024,Figure 7
19,5,investment,cloud,Banks migrated more than half of data to cloud,52.0,,,percent,US,Banking,,2024,infrastructure,~150 executives,Deloitte 2024,Figure 7
20,5,investment,nocode,Bank executives considering no-code AI,45.0,,,percent,US,Banking,,2024,investment,~150 executives,Deloitte 2024,Figure 7
21,6,technology,ai_ml,Banks using AI/ML models (2025),67.0,,,percent,EMEA,Banking,,2025,risk,87 banks,Deloitte EMEA MRM 2025,Figure 1
22,6,technology,ai_ml,Banks using AI/ML models (2023),56.0,,,percent,EMEA,Banking,,2023,risk,87 banks,Deloitte EMEA MRM 2025,
23,7,benefit,cost,Net aggregate cost base reduction from AI (lower bound),,15.0,20.0,percent,Global,Banking,,2025,cost,,McKinsey 2025,Figure 2
24,7,benefit,cost,Gross cost reduction in select categories (upper bound),70.0,,,percent,Global,Banking,,2025,cost,,McKinsey 2025 up to 70%,Figure 2
25,7,benefit,investment,Annual global bank technology spend,600.0,,,billion_usd,Global,Banking,,2025,technology,,McKinsey 2025 ~$600B,
26,8,benefit,productivity,Credit analyst productivity gain (lower bound),,20.0,60.0,percent,Global,Banking,,2024,lending,,McKinsey multi-agent systems,Figure 2
27,10,bank_metric,digital,Trade transactions done digitally,71.0,,,percent,India,Banking,ICICI Bank,FY2023-24,trade_finance,,About 71% of trade transactions,Figure 1
