stat_id,category,metric_name,value,value_min,value_max,unit,bank_name,fiscal_year,operational_domain,sample_size,figure_ref,organization,report_title,url
1,rbi,Digital share of non-cash retail payments,99.8,,,percent,,FY2023-24,payments,,Figure 1,Reserve Bank of India,Annual Report 2023-24,https://www.rbi.org.in/Scripts/AnnualReportPublications.aspx?Id=1409
2,rbi,Payment system volume growth YoY,44.0,,,percent,,FY2023-24,payments,,Figure 1,Reserve Bank of India,Annual Report 2023-24,https://www.rbi.org.in/Scripts/AnnualReportPublications.aspx?Id=1409
3,rbi,RBI Digital Payments Index (September 2022),377.5,,,index,,FY2022-23,payments,,Figure 6,Reserve Bank of India,Annual Report 2023-24,https://www.rbi.org.in/Scripts/AnnualReportPublications.aspx?Id=1409
4,rbi,RBI Digital Payments Index (September 2023),418.8,,,index,,FY2023-24,payments,,Figure 6,Reserve Bank of India,Annual Report 2023-24,https://www.rbi.org.in/Scripts/AnnualReportPublications.aspx?Id=1409
5,rbi,Retail payment volume growth YoY,44.1,,,percent,,FY2023-24,payments,,,Reserve Bank of India,Annual Report 2023-24,https://www.rbi.org.in/Scripts/AnnualReportPublications.aspx?Id=1409
6,adoption,FinServ firms implemented or plan GenAI pilot within 12 months,78.0,,,percent,,2024,general,FS sector survey,Figure 1,EY India,GenAI set to boost Indian Financial Services (Feb 2024),https://www.ey.com/en_in/newsroom/2024/02/gen-ai-set-to-boost-indian-financial-services-potentially-add-us-dollor-80-billion-to-gva-by-2030-ey-report
7,benefit,FinServ firms citing customer experience impact from GenAI,84.0,,,percent,,2024,customer_service,FS sector survey,Figure 2,EY India,GenAI set to boost Indian Financial Services (Feb 2024),https://www.ey.com/en_in/newsroom/2024/02/gen-ai-set-to-boost-indian-financial-services-potentially-add-us-dollor-80-billion-to-gva-by-2030-ey-report
8,benefit,FinServ firms citing cost reduction from GenAI,78.0,,,percent,,2024,cost,FS sector survey,Figure 2,EY India,GenAI set to boost Indian Financial Services (Feb 2024),https://www.ey.com/en_in/newsroom/2024/02/gen-ai-set-to-boost-indian-financial-services-potentially-add-us-dollor-80-billion-to-gva-by-2030-ey-report
9,benefit,FinServ firms citing innovation impact from GenAI,61.0,,,percent,,2024,innovation,FS sector survey,Figure 2,EY India,GenAI set to boost Indian Financial Services (Feb 2024),https://www.ey.com/en_in/newsroom/2024/02/gen-ai-set-to-boost-indian-financial-services-potentially-add-us-dollor-80-billion-to-gva-by-2030-ey-report
10,benefit,Productivity gain in Indian banking operations by 2030 (upper bound),46.0,,,percent,,2030,operations,,Figure 2,EY India,GenAI productivity in Indian banking ops (Mar 2025),https://www.ey.com/en_in/newsroom/2025/03/gen-ai-to-drive-productivity-gains-of-up-to-46-percent-in-indian-banking-ops-by-2030
11,benefit,Productivity gain in Indian financial services by 2030,,34.0,38.0,percent,,2030,operations,,Figure 2,EY India,GenAI productivity in Indian banking ops (Mar 2025),https://www.ey.com/en_in/newsroom/2025/03/gen-ai-to-drive-productivity-gains-of-up-to-46-percent-in-indian-banking-ops-by-2030
12,adoption,Customers expecting AI-powered financial guidance,59.0,,,percent,,2024,customer_service,n=2030,Figure 3,EY India,"Consumer banking survey (n=2,030)",https://www.ey.com/en_in/insights/banking-capital-markets
13,adoption,Customers wanting unified banking services,89.0,,,percent,,2024,customer_service,n=2030,Figure 3,EY India,"Consumer banking survey (n=2,030)",https://www.ey.com/en_in/insights/banking-capital-markets
14,technology,Organizations already implementing RPA,74.0,,,percent,,2022,automation,n=479,Figure 1,Deloitte,Global Intelligent Automation Survey,https://www.deloitte.com/us/en/insights/topics/talent/intelligent-automation-2022-survey-results.html
15,technology,Organizations already implementing OCR,50.0,,,percent,,2022,automation,n=479,Figure 4,Deloitte,Global Intelligent Automation Survey,https://www.deloitte.com/us/en/insights/topics/talent/intelligent-automation-2022-survey-results.html
16,technology,Organizations planning AI implementation in next 3 years,46.0,,,percent,,2022,automation,n=479,Figure 4,Deloitte,Global Intelligent Automation Survey,https://www.deloitte.com/us/en/insights/topics/talent/intelligent-automation-2022-survey-results.html
17,technology,Organizations planning process mining in next 3 years,43.0,,,percent,,2022,automation,n=479,Figure 4,Deloitte,Global Intelligent Automation Survey,https://www.deloitte.com/us/en/insights/topics/talent/intelligent-automation-2022-survey-results.html
18,investment,Bank executives considering GenAI investment,62.0,,,percent,,2024,investment,~150 executives,Figure 7,Deloitte,2024 Banking & Capital Markets Data Analytics Survey,https://www.deloitte.com/us/en/services/consulting/articles/2024-banking-data-analytics-survey-insights.html
19,investment,Banks migrated more than half of data to cloud,52.0,,,percent,,2024,infrastructure,~150 executives,Figure 7,Deloitte,2024 Banking & Capital Markets Data Analytics Survey,https://www.deloitte.com/us/en/services/consulting/articles/2024-banking-data-analytics-survey-insights.html
20,investment,Bank executives considering no-code AI,45.0,,,percent,,2024,investment,~150 executives,Figure 7,Deloitte,2024 Banking & Capital Markets Data Analytics Survey,https://www.deloitte.com/us/en/services/consulting/articles/2024-banking-data-analytics-survey-insights.html
21,technology,Banks using AI/ML models (2025),67.0,,,percent,,2025,risk,87 banks,Figure 1,Deloitte,EMEA Model Risk Management Survey 2025,https://www.deloitte.com/middle-east/en/services/consulting/perspectives/ai-adoption-in-financial-institutions-balancing-growth-and-governance.html
22,technology,Banks using AI/ML models (2023),56.0,,,percent,,2023,risk,87 banks,,Deloitte,EMEA Model Risk Management Survey 2025,https://www.deloitte.com/middle-east/en/services/consulting/perspectives/ai-adoption-in-financial-institutions-balancing-growth-and-governance.html
23,benefit,Net aggregate cost base reduction from AI (lower bound),,15.0,20.0,percent,,2025,cost,,Figure 2,McKinsey & Company,Global Banking Annual Review 2025,https://www.mckinsey.com/industries/financial-services/our-insights/global-banking-annual-review
24,benefit,Gross cost reduction in select categories (upper bound),70.0,,,percent,,2025,cost,,Figure 2,McKinsey & Company,Global Banking Annual Review 2025,https://www.mckinsey.com/industries/financial-services/our-insights/global-banking-annual-review
