source_id,organization,report_title,publication_year,url,accessed_date
1,Reserve Bank of India,Annual Report 2023-24,2024,https://www.rbi.org.in/Scripts/AnnualReportPublications.aspx?Id=1409,2025-05-23
2,EY India,GenAI set to boost Indian Financial Services (Feb 2024),2024,https://www.ey.com/en_in/newsroom/2024/02/gen-ai-set-to-boost-indian-financial-services-potentially-add-us-dollor-80-billion-to-gva-by-2030-ey-report,2025-05-23
3,EY India,GenAI productivity in Indian banking ops (Mar 2025),2025,https://www.ey.com/en_in/newsroom/2025/03/gen-ai-to-drive-productivity-gains-of-up-to-46-percent-in-indian-banking-ops-by-2030,2025-05-23
4,Deloitte,Global Intelligent Automation Survey,2022,https://www.deloitte.com/us/en/insights/topics/talent/intelligent-automation-2022-survey-results.html,2025-05-23
5,Deloitte,2024 Banking & Capital Markets Data Analytics Survey,2024,https://www.deloitte.com/us/en/services/consulting/articles/2024-banking-data-analytics-survey-insights.html,2025-05-23
6,Deloitte,EMEA Model Risk Management Survey 2025,2025,https://www.deloitte.com/middle-east/en/services/consulting/perspectives/ai-adoption-in-financial-institutions-balancing-growth-and-governance.html,2025-05-23
7,McKinsey & Company,Global Banking Annual Review 2025,2025,https://www.mckinsey.com/industries/financial-services/our-insights/global-banking-annual-review,2025-05-23
8,McKinsey & Company,Extracting value from AI in banking,2024,https://www.mckinsey.com/industries/financial-services/our-insights/extracting-value-from-ai-in-banking-rewiring-the-enterprise,2025-05-23
9,HDFC Bank Limited,Integrated Annual Report FY2023-24,2024,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports,2025-05-23
10,ICICI Bank Limited,Performance Review Q4 FY2024,2024,https://www.icici.bank.in/about-us/news-room/2024/performance-review-quarter-ended-march-31-2024,2025-05-23
11,ICICI Bank Limited,Integrated Report FY2023-24,2024,https://www.icicibank.com/about-us/annual-reports,2025-05-23
12,EY India,"Consumer banking survey (n=2,030)",2024,https://www.ey.com/en_in/insights/banking-capital-markets,2025-05-23
